Clock frequency is approx. 2904.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	13863	8535	6428	4503	3606	3001	1861	2337	1447	913	1257	745	1362	1445	1261	
64m	14120	8161	4553	3454	3658	2002	2417	2257	2029	1966	1824	1782	1686	1610	1630	
32m	14145	8808	6436	4637	3696	3021	2565	2258	2040	1743	1865	1815	1746	1054	1659	
16m	13833	8817	6463	4702	3575	2938	2665	2062	1934	1868	1378	1241	1230	1121	1042	
8m	14038	9028	6958	4664	3539	3136	2085	2198	1881	1399	1241	1237	1476	1724	1674	
4m	18641	13068	10490	8380	6462	4313	3208	3106	3327	3581	3025	2875	2779	2990	2961	
2m	16871	13922	12128	9588	8016	6890	6313	5625	5388	5152	5063	5028	5257	5161	4691	
1024k	21357	16233	13402	10774	8974	7726	6727	5964	6390	6148	5954	5762	5635	5529	5440	
512k	24206	18535	15494	12628	10637	9153	8072	7074	6866	6713	6503	6355	6319	6355	6231	
256k	25869	19961	17812	15669	13687	12098	10672	9729	9402	9276	8996	9072	8970	9155	9032	
128k	25906	20050	18780	16216	14277	12349	10916	9676	9627	9576	8147	8158	8088	9317	9377	
64k	25799	20303	19382	17339	15015	12667	11319	9830	10093	9704	10011	10468	10280	12506	21146	
32k	33226	32588	31004	30776	29595	28574	28439	26790	26897	28230	31108	29582	28586	27850	29499	
16k	33272	31804	30615	28731	28314	26165	28552	28187	27964	28314	26206	25908	25235	23272	24970	
