N,times

50000000, 0.05954623
50000000, 0.05952311
50000000, 0.05952787
50000000, 0.05953217
50000000, 0.05956793
50000000, 0.05948305
50000000, 0.05958200
50000000, 0.05959892
50000000, 0.05963278
50000000, 0.05965900
50000000, 0.05966187
50000000, 0.05962491
50000000, 0.05969286
50000000, 0.05970383
50000000, 0.05969310
50000000, 0.05972695
50000000, 0.05971408
50000000, 0.05967903
50000000, 0.05974507
50000000, 0.05973887 

100000000, 0.11430216
100000000, 0.11430597
100000000, 0.11930680
100000000, 0.11773109
100000000, 0.11887097
100000000, 0.11761785
100000000, 0.11764693
100000000, 0.11761498
100000000, 0.11931181
100000000, 0.11866093
100000000, 0.11922598
100000000, 0.11919284
100000000, 0.11918092
100000000, 0.11915803
100000000, 0.11913109
100000000, 0.11910820
100000000, 0.11907697
100000000, 0.11908507
100000000, 0.11772609
100000000, 0.11777592 

200000000, 0.22798181
200000000, 0.22858405
200000000, 0.22799492
200000000, 0.22793794
200000000, 0.22866011
200000000, 0.22848105
200000000, 0.22784495
200000000, 0.22900105
200000000, 0.22777414
200000000, 0.22791100
200000000, 0.22843003
200000000, 0.22819304
200000000, 0.22833896
200000000, 0.22791290
200000000, 0.22811103
200000000, 0.22849798
200000000, 0.22943902
200000000, 0.22943497
200000000, 0.22941613
200000000, 0.22933197 

300000000, 0.34237099
300000000, 0.34216094
300000000, 0.34254408
300000000, 0.34161305
300000000, 0.34167409
300000000, 0.34300113
300000000, 0.34301996
300000000, 0.34292603
300000000, 0.34298396
300000000, 0.34270787
300000000, 0.34281206
300000000, 0.34186602
300000000, 0.34203410
300000000, 0.34188509
300000000, 0.34188509
300000000, 0.34190297
300000000, 0.34251809
300000000, 0.34199309
300000000, 0.34199214
300000000, 0.34361887 

400000000, 0.45797992
400000000, 0.45774102
400000000, 0.45757508
400000000, 0.45633197
400000000, 0.45823002
400000000, 0.45770311
400000000, 0.45768905
400000000, 0.45657301
400000000, 0.45747781
400000000, 0.45729399
400000000, 0.45638704
400000000, 0.45728707
400000000, 0.45717001
400000000, 0.45650792
400000000, 0.45644212
400000000, 0.45646691
400000000, 0.45703912
400000000, 0.45651603
400000000, 0.45673203 
400000000, 0.45653892
500000000, 0.57048202
500000000, 0.56997705
500000000, 0.56938100
500000000, 0.57054901
500000000, 0.57081890
500000000, 0.57045507
500000000, 0.56974292
500000000, 0.56996393
500000000, 0.57069898
500000000, 0.57076192
500000000, 0.57058787
500000000, 0.57074285
500000000, 0.57063293
500000000, 0.57069802
500000000, 0.56990385
500000000, 0.57067513
500000000, 0.56985497
500000000, 0.56988502
500000000, 0.71605492 
500000000, 0.71532202

600000000, 0.68344998
600000000, 0.68481183
600000000, 0.68325400
600000000, 0.68467498
600000000, 0.68491507
600000000, 0.68327403
600000000, 0.68458009
600000000, 0.68444204
600000000, 0.68451405
600000000, 0.68365097
600000000, 0.68454504
600000000, 0.68372297
600000000, 0.68385696
600000000, 0.68440604
600000000, 0.68377090
600000000, 0.68428397
600000000, 0.68451691
600000000, 0.68384004
600000000, 0.68543196 
600000000, 0.68386292

700000000, 0.79715109
700000000, 0.79838490
700000000, 0.79805994
700000000, 0.79816294
700000000, 0.79841495
700000000, 0.79793096
700000000, 0.79756308
700000000, 0.79859710
700000000, 0.79861903
700000000, 0.79855013
700000000, 0.79858398
700000000, 0.79842997
700000000, 0.79789305
700000000, 0.79762197
700000000, 0.79780006
700000000, 0.79752088
700000000, 0.80368114 
700000000, 0.80205107
700000000, 0.80220985
700000000, 0.80267000

800000000, 0.91302705
800000000, 0.91274095
800000000, 0.91299391
800000000, 0.91290712
800000000, 0.91301894
800000000, 0.91284895
800000000, 0.91290092
800000000, 0.91257715
800000000, 0.91265106
800000000, 0.91184902
800000000, 0.91236901
800000000, 0.91173983
800000000, 0.91157484
800000000, 0.91245818
800000000, 0.91159105
800000000, 0.91663003
800000000, 0.91667295
800000000, 0.91674590
800000000, 0.91665602
800000000, 0.91814303 

900000000, 1.02670193
900000000, 1.02663517
900000000, 1.02669597
900000000, 1.02555418
900000000, 1.02675915
900000000, 1.02669096
900000000, 1.02518201
900000000, 1.02521205
900000000, 1.02541113
900000000, 1.02596307
900000000, 1.02512503
900000000, 1.02653909
900000000, 1.02543402
900000000, 1.02514410
900000000, 1.02538395
900000000, 1.02616596
900000000, 1.02516294
900000000, 1.02719593 
900000000, 1.02528811
900000000, 1.02537203

1000000000, 1.14099002
1000000000, 1.14081383
1000000000, 1.14099193
1000000000, 1.14103508
1000000000, 1.14085984
1000000000, 1.14075089
1000000000, 1.14073277
1000000000, 1.14051104
1000000000, 1.45848417
1000000000, 1.45847487
1000000000, 1.45948219
1000000000, 1.45860982
1000000000, 1.45926595
1000000000, 1.45849800
1000000000, 1.45843506
1000000000, 1.45844388
1000000000, 1.45913100
1000000000, 1.45852685
1000000000, 1.45992184 
1000000000, 1.46000099
