N;time_points;time_sum
50000000;0,05693698 ; 0,00011301;
50000000;0,05697417 ; 0,00012612;
50000000;0,05699086 ; 0,00008202;
50000000;0,05697703 ; 0,00011110;
50000000;0,05697107 ; 0,00014901;
50000000;0,05884600 ; 0,00002384;
50000000;0,05696297 ; 0,00191593;
50000000;0,05700707 ; 0,00188684;
50000000;0,05699587 ; 0,00187182;
50000000;0,05667400 ; 0,00224686;
50000000;0,05725908 ; 0,00165415;
50000000;0,05690813 ; 0,00203300;
50000000;0,05700397 ; 0,00190878;
50000000;0,05696297 ; 0,00197601;
50000000;0,05692601 ; 0,00204706;
50000000;0,05697489 ; 0,00204682;
50000000;0,05702710 ; 0,00200701; 
50000000;0,05695605 ; 0,00205708;
50000000;0,05695701 ; 0,00199890;
50000000;0,05700707 ; 0,00196290;
100000000;0,11393213 ; 0,00041699;
100000000;0,11389399 ; 0,00030112;
100000000;0,11403799 ; 0,00016880;
100000000;0,11412907 ; 0,00046492;
100000000;0,11395502 ; 0,00239897;
100000000;0,11397004 ; 0,00182390;
100000000;0,11344409 ; 0,00292516;
100000000;0,11393785 ; 0,00099397;
100000000;0,11385608 ; 0,00233698;
100000000;0,11396098 ; 0,00203300;
100000000;0,11393499 ; 0,00051808;
100000000;0,11388588 ; 0,00192904;
100000000;0,11385608 ; 0,00060987;
100000000;0,11394501 ; 0,00087905;
100000000;0,11384296 ; 0,00051403;
100000000;0,11398506 ; 0,00168014;
100000000;0,11391997 ; 0,00169802;
100000000;0,11766195 ; 0,00002789;
100000000;0,11427283 ; 0,00312495; 
100000000;0,11386204 ; 0,00460315;

200000000;0,22801995 ; 0,00311494;
200000000;0,22685313 ; 0,00449514;
200000000;0,22798204 ; 0,00292993;
200000000;0,22798300 ; 0,00174093;
200000000;0,22794700 ; 0,00211096;
200000000;0,22780299 ; 0,00234890;
200000000;0,22789502 ; 0,00337195;
200000000;0,22798109 ; 0,00175500;
200000000;0,22769403 ; 0,00356197;
200000000;0,22796297 ; 0,00179291;
200000000;0,22782707 ; 0,00221705;
200000000;0,22819710 ; 0,00227809;
200000000;0,22781491 ; 0,00197291;
200000000;0,22769904 ; 0,00231194;
200000000;0,28677893 ; 0,00002408;
200000000;0,22796321 ; 0,05831099;
200000000;0,22777390 ; 0,05849004;
200000000;0,22785282 ; 0,05835485;
200000000;0,22765803 ; 0,05854821;
