N,p,time
1000000000,1, 19.60939717 
1000000000,2, 10.22740197 
1000000000,2, 10.22739506
1000000000,4, 5.06469011 
1000000000,4, 5.06454587
1000000000,4, 5.06470895
1000000000,4, 5.06455898
1000000000,6, 3.48617697
1000000000,6, 3.48628092
1000000000,6, 3.48620701
1000000000,6, 3.48611498
1000000000,6, 4.34753203
1000000000,6, 4.34734392 
1000000000,8, 2.68318391
1000000000,8, 2.68328905
1000000000,8, 2.68455195
1000000000,8, 2.68452096
1000000000,8, 2.70150185
1000000000,8, 2.70158601
1000000000,8, 2.70160198 
1000000000,8, 2.70158601
1000000000,10, 2.20944715
1000000000,10, 2.20991993
1000000000,10, 2.20993304
1000000000,10, 2.21022487
1000000000,10, 2.21157885 
1000000000,10, 2.21156502
1000000000,10, 2.21148181
1000000000,10, 2.21158218
1000000000,10, 2.21147418
1000000000,10, 2.21158218
1000000000,12, 1.89828801
1000000000,12, 1.89840794
1000000000,12, 1.89843392
1000000000,12, 1.90059400
1000000000,12, 1.90079904
1000000000,12, 1.91378188
1000000000,12, 1.91381097
1000000000,12, 1.91380787
1000000000,12, 1.91972899
1000000000,12, 1.91944504 
1000000000,12, 1.91974497
1000000000,12, 1.91962290
1000000000,14, 1.63167095
1000000000,14, 1.64049792
1000000000,14, 1.64049411
1000000000,14, 1.64042401
1000000000,14, 1.80108309
1000000000,14, 1.80099702
1000000000,14, 1.80101895
1000000000,14, 1.80075192
1000000000,14, 1.80101705
1000000000,14, 1.80087900
1000000000,14, 1.80104184
1000000000,14, 1.80083203
1000000000,14, 1.80104113
1000000000,14, 1.80104089 
1000000000,16, 1.42545891
1000000000,16, 1.45152593
1000000000,16, 1.45161891
1000000000,16, 1.45249701
1000000000,16, 1.45262194
1000000000,16, 1.45153594
1000000000,16, 1.45212603
1000000000,16, 1.45149302
1000000000,16, 1.45146918
1000000000,16, 1.45177698
1000000000,16, 1.45189786
1000000000,16, 1.45276594
1000000000,16, 1.45149422
1000000000,16, 1.45151305
1000000000,16, 1.45150304
1000000000,16, 1.45270300 
cn08-04.31842ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31843ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31864ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31866ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
1000000000,18, 1.26768303
1000000000,18, 1.26727509
1000000000,18, 1.26816797
1000000000,18, 1.26726913
1000000000,18, 1.26820016
1000000000,18, 1.26810408
1000000000,18, 1.26729298
1000000000,18, 1.26712799
1000000000,18, 1.26789093
1000000000,18, 1.26713395
1000000000,18, 1.26707697
1000000000,18, 1.26716709
1000000000,18, 1.26813197
1000000000,18, 1.26747990
1000000000,18, 1.26707888
1000000000,18, 1.26723003
1000000000,18, 1.26709795
1000000000,18, 1.26761699 
cn08-04.31898ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31901ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31900ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31899ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31920ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31923ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31922ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
cn08-04.31924ipath_userinit: Mismatched user minor version (12) and driver minor version (13) while context sharing. Ensure that driver and library are from the same release.
1000000000,20, 1.19200110
1000000000,20, 1.19181204
1000000000,20, 1.19203401
1000000000,20, 1.19177604
1000000000,20, 1.19141388
1000000000,20, 1.19093585
1000000000,20, 1.19207692
1000000000,20, 1.19155407
1000000000,20, 1.19053698
1000000000,20, 1.19054389
1000000000,20, 1.19093394
1000000000,20, 1.19051194
1000000000,20, 1.19081593
1000000000,20, 1.19078994
1000000000,20, 1.19058609
1000000000,20, 1.19079399
1000000000,20, 1.19067907
1000000000,20, 1.19073415
1000000000,20, 1.19069505
1000000000,20, 1.19194508 
